Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa\achiupr01,PF,21,MIA,61,4,737,6.1,11.1,.544,0.0,0.0,.000,6.1,11.1,.546,2.7,5.4,.509,3.6,6.6,10.2,1.4,1.0,1.4,2.1,4.4,14.8
2,Jaylen Adams\adamsja01,PG,24,MIL,7,0,18,2.0,16.0,.125,0.0,4.0,.000,2.0,12.0,.167,0.0,0.0,,0.0,6.0,6.0,4.0,0.0,0.0,0.0,2.0,4.0
3,Steven Adams\adamsst01,C,27,NOP,58,58,1605,4.2,6.9,.614,0.0,0.1,.000,4.2,6.8,.620,1.3,3.0,.444,4.8,6.8,11.5,2.5,1.2,0.9,1.7,2.5,9.8
4,Bam Adebayo\adebaba01,C,23,MIA,64,64,2143,7.7,13.4,.570,0.0,0.1,.250,7.6,13.3,.573,4.8,5.9,.799,2.4,7.2,9.6,5.8,1.3,1.1,2.8,2.4,20.1
5,LaMarcus Aldridge\aldrila01,C,35,TOT,26,23,674,7.5,15.8,.473,1.7,4.3,.388,5.8,11.5,.505,2.2,2.5,.872,1.0,5.3,6.3,2.6,0.6,1.5,1.4,2.5,18.8
5,LaMarcus Aldridge\aldrila01,C,35,SAS,21,18,544,7.6,16.4,.464,1.8,5.0,.360,5.8,11.4,.509,2.1,2.4,.838,1.1,5.1,6.2,2.4,0.5,1.2,1.3,2.4,19.1
5,LaMarcus Aldridge\aldrila01,C,35,BRK,5,5,130,6.9,13.3,.521,1.1,1.4,.800,5.8,11.9,.488,2.8,2.8,1.000,0.6,6.1,6.6,3.6,0.8,3.0,1.9,3.0,17.7
6,Ty-Shon Alexander\alexaty01,SG,22,PHO,15,0,47,2.3,9.2,.250,1.5,6.9,.222,0.8,2.3,.333,0.8,1.5,.500,1.5,6.1,7.7,4.6,0.0,0.8,2.3,1.5,6.9
7,Nickeil Alexander-Walker\alexani01,SG,22,NOP,46,13,1007,6.9,16.4,.419,2.7,7.8,.347,4.1,8.5,.485,1.7,2.4,.727,0.5,4.7,5.1,3.6,1.7,0.8,2.5,3.1,18.2
8,Grayson Allen\allengr01,SG,25,MEM,50,38,1259,4.9,11.8,.418,3.1,7.8,.391,1.9,4.0,.471,2.3,2.6,.868,0.5,4.0,4.6,3.1,1.3,0.2,1.4,2.0,15.2
9,Jarrett Allen\allenja01,C,22,TOT,63,45,1864,5.8,9.3,.618,0.1,0.4,.316,5.6,8.9,.631,3.9,5.6,.703,3.8,8.4,12.2,2.0,0.6,1.7,1.9,1.9,15.6
9,Jarrett Allen\allenja01,C,22,BRK,12,5,320,5.0,7.3,.677,0.0,0.0,,5.0,7.3,.677,5.2,6.9,.754,4.3,9.8,14.1,2.3,0.8,2.1,2.5,2.4,15.1
9,Jarrett Allen\allenja01,C,22,CLE,51,40,1544,5.9,9.7,.609,0.1,0.4,.316,5.8,9.3,.623,3.7,5.3,.690,3.7,8.1,11.8,2.0,0.6,1.7,1.8,1.7,15.7
10,Al-Farouq Aminu\aminual01,PF,30,TOT,23,14,434,3.2,8.2,.384,0.7,3.1,.216,2.5,5.1,.484,1.5,1.8,.818,1.8,7.3,9.1,2.6,1.6,0.7,2.3,2.4,8.5
10,Al-Farouq Aminu\aminual01,PF,30,ORL,17,14,367,3.5,8.7,.404,0.7,3.0,.226,2.8,5.7,.500,1.4,1.7,.824,2.0,7.0,8.9,2.8,1.7,0.9,2.5,2.2,9.1
10,Al-Farouq Aminu\aminual01,PF,30,CHI,6,0,67,1.1,5.4,.200,0.5,3.2,.167,0.5,2.1,.250,2.1,2.7,.800,1.1,9.1,10.2,1.1,1.1,0.0,1.6,3.8,4.8
11,Kyle Anderson\anderky01,PF,27,MEM,69,69,1887,5.9,12.6,.468,1.8,5.0,.360,4.1,7.6,.539,2.7,3.5,.783,1.0,6.6,7.6,4.8,1.6,1.1,1.6,2.3,16.3
12,Giannis Antetokounmpo\antetgi01,PF,26,MIL,61,61,2013,11.2,19.7,.569,1.2,4.0,.303,10.0,15.7,.636,7.1,10.4,.685,1.7,10.3,12.0,6.4,1.3,1.3,3.7,3.0,30.7
13,Kostas Antetokounmpo\antetko01,PF,23,LAL,15,0,56,1.9,6.4,.300,0.0,0.0,,1.9,6.4,.300,3.9,8.4,.462,2.6,9.6,12.2,0.6,1.3,2.6,7.1,5.1,7.7
14,Thanasis Antetokounmpo\antetth01,SF,28,MIL,57,3,551,4.4,9.0,.489,0.5,1.9,.241,3.9,7.1,.556,1.6,3.2,.510,3.5,4.6,8.1,3.0,1.4,0.7,2.8,4.8,10.8
15,Carmelo Anthony\anthoca01,PF,36,POR,69,3,1690,7.0,16.6,.421,2.8,6.9,.409,4.1,9.6,.429,2.9,3.3,.890,0.7,3.9,4.6,2.2,1.0,0.8,1.3,3.1,19.7
16,Cole Anthony\anthoco01,PG,20,ORL,47,34,1273,6.2,15.6,.397,1.6,4.9,.337,4.6,10.7,.424,3.1,3.7,.832,1.1,5.2,6.2,5.4,0.8,0.5,3.0,2.8,17.1
17,OG Anunoby\anunoog01,SF,23,TOR,43,43,1433,6.3,13.0,.480,2.6,6.6,.398,3.6,6.5,.562,2.0,2.6,.784,1.4,4.6,6.0,2.4,1.7,0.8,1.9,2.9,17.1
18,Ryan Arcidiacono\arcidry01,PG,26,CHI,44,0,450,3.9,9.4,.419,2.0,5.4,.373,1.9,4.0,.480,1.0,1.6,.650,0.4,5.0,5.4,4.5,0.7,0.0,0.8,3.8,10.9
19,Trevor Ariza\arizatr01,SF,35,MIA,30,27,841,4.2,10.3,.411,2.1,6.1,.350,2.1,4.2,.500,1.5,1.9,.773,1.2,5.0,6.2,2.4,1.3,0.8,0.9,2.4,12.1
20,D.J. Augustin\augusdj01,PG,33,TOT,57,12,1129,4.3,10.9,.394,2.6,6.9,.382,1.7,4.0,.413,2.7,3.0,.904,0.6,2.4,3.0,6.0,0.9,0.0,2.1,1.8,14.0
20,D.J. Augustin\augusdj01,PG,33,MIL,37,6,713,3.6,9.7,.370,2.5,6.5,.380,1.1,3.2,.349,1.8,2.0,.900,0.6,2.0,2.5,5.6,1.0,0.1,1.7,1.7,11.5
20,D.J. Augustin\augusdj01,PG,33,HOU,20,6,416,5.5,13.1,.424,2.9,7.6,.386,2.6,5.5,.476,4.2,4.7,.907,0.8,3.0,3.8,6.8,0.7,0.0,2.7,2.0,18.3
21,Deni Avdija\avdijde01,SF,20,WAS,54,32,1257,3.7,8.9,.417,1.5,4.8,.315,2.2,4.1,.535,0.8,1.3,.644,0.6,6.9,7.5,1.8,0.9,0.4,0.9,4.0,9.8
22,Deandre Ayton\aytonde01,C,22,PHO,69,69,2115,7.3,11.7,.626,0.1,0.3,.200,7.3,11.4,.639,2.3,2.9,.769,3.9,8.5,12.4,1.7,0.7,1.4,1.8,3.3,17.0
23,Udoka Azubuike\azubuud01,C,21,UTA,15,0,57,2.5,5.7,.444,0.0,0.0,,2.5,5.7,.444,5.1,6.3,.800,2.5,5.7,8.2,0.0,0.6,2.5,1.9,5.7,10.1
24,Dwayne Bacon\bacondw01,SG,25,ORL,72,50,1853,5.7,14.1,.402,1.1,4.0,.285,4.5,10.1,.449,2.8,3.4,.824,0.6,3.7,4.4,1.8,0.9,0.1,0.9,2.0,15.3
25,Marvin Bagley III\baglema01,PF,21,SAC,43,42,1112,8.0,15.9,.504,1.2,3.5,.343,6.8,12.4,.550,2.5,4.3,.575,3.4,6.9,10.3,1.4,0.7,0.7,1.9,3.2,19.7
26,LaMelo Ball\ballla01,PG,19,CHO,51,31,1469,7.2,16.5,.436,2.3,6.4,.352,4.9,10.1,.489,3.1,4.0,.758,1.5,5.9,7.4,7.7,2.0,0.4,3.6,3.3,19.7
27,Lonzo Ball\balllo01,PG,23,NOP,55,55,1747,6.0,14.4,.414,3.5,9.4,.378,2.4,5.0,.482,1.0,1.3,.781,0.7,4.7,5.4,6.5,1.7,0.6,2.5,2.1,16.5
28,Mo Bamba\bambamo01,C,22,ORL,46,5,725,7.1,14.9,.472,1.9,5.9,.322,5.2,9.1,.568,2.2,3.3,.682,3.8,9.4,13.2,1.7,0.7,2.9,1.8,4.3,18.2
29,Desmond Bane\banede01,SG,22,MEM,68,17,1519,5.5,11.8,.469,2.8,6.4,.432,2.8,5.4,.513,0.9,1.2,.816,0.7,4.2,5.0,2.8,1.0,0.4,1.4,3.0,14.8
30,Harrison Barnes\barneha02,PF,28,SAC,58,58,2102,5.5,11.0,.497,1.7,4.4,.391,3.8,6.6,.567,3.3,4.0,.830,1.1,5.5,6.6,3.4,0.7,0.2,1.6,1.3,16.0
31,RJ Barrett\barrerj01,SG,20,NYK,72,72,2511,6.7,15.2,.441,1.8,4.4,.401,4.9,10.8,.457,3.0,4.0,.746,1.0,5.0,5.9,3.1,0.8,0.3,2.0,2.7,18.1
32,Will Barton\bartowi01,SF,30,DEN,56,52,1736,5.4,12.6,.426,2.0,5.3,.381,3.3,7.3,.459,2.0,2.5,.785,0.8,3.9,4.7,3.8,1.0,0.5,2.0,2.0,14.7
33,Keita Bates-Diop\bateske01,SF,25,SAS,30,0,245,4.4,9.8,.448,0.7,2.5,.294,3.7,7.3,.500,2.1,3.1,.667,1.3,5.9,7.2,1.8,1.6,0.7,1.0,1.6,11.6
34,Nicolas Batum\batumni01,SF,32,LAC,67,38,1835,3.7,8.1,.464,2.2,5.3,.404,1.6,2.7,.579,0.9,1.1,.828,1.0,5.2,6.2,2.9,1.4,0.7,1.0,2.0,10.6
35,Aron Baynes\baynear01,C,34,TOR,53,31,980,4.9,11.2,.441,1.0,3.8,.262,3.9,7.4,.532,1.1,1.5,.707,3.2,6.8,10.0,1.7,0.6,0.8,1.7,4.4,11.9
36,Kent Bazemore\bazemke01,SF,31,GSW,67,18,1333,4.8,10.6,.449,2.0,5.0,.408,2.7,5.6,.486,1.5,2.1,.692,0.7,5.5,6.2,2.9,1.9,0.9,2.2,4.3,13.0
37,Darius Bazley\bazleda01,PF,20,OKC,55,55,1714,5.7,14.5,.396,1.7,6.0,.290,4.0,8.5,.470,2.6,3.7,.702,1.1,7.2,8.3,2.1,0.6,0.5,2.6,1.3,15.8
38,Bradley Beal\bealbr01,SG,27,WAS,60,60,2147,11.2,23.2,.485,2.2,6.3,.349,9.1,16.9,.535,6.8,7.7,.889,1.2,3.5,4.7,4.4,1.2,0.4,3.1,2.3,31.5
39,Malik Beasley\beaslma01,SG,24,MIN,37,36,1214,7.8,17.8,.440,3.8,9.5,.399,4.0,8.3,.487,2.0,2.4,.850,0.8,4.0,4.8,2.6,0.9,0.2,1.8,1.8,21.5
40,Jordan Bell\belljo01,C,26,TOT,6,1,82,3.1,9.7,.318,0.0,0.9,.000,3.1,8.8,.350,0.4,0.9,.500,3.1,7.5,10.5,3.1,1.3,2.2,1.8,3.1,6.6
40,Jordan Bell\belljo01,C,26,WAS,5,1,67,3.8,10.7,.350,0.0,1.1,.000,3.8,9.7,.389,0.0,0.0,,3.2,7.0,10.2,2.7,1.6,1.6,1.6,2.7,7.5
40,Jordan Bell\belljo01,C,26,GSW,1,0,15,0.0,4.8,.000,0.0,0.0,,0.0,4.8,.000,2.4,4.8,.500,2.4,9.6,12.0,4.8,0.0,4.8,2.4,4.8,2.4
41,DeAndre' Bembry\bembrde01,SF,26,TOR,51,12,972,4.3,8.4,.513,0.5,2.0,.264,3.8,6.5,.589,1.7,2.4,.682,1.2,4.2,5.4,4.0,2.0,0.7,2.6,3.2,10.9
42,Dāvis Bertāns\bertada01,PF,28,WAS,57,7,1464,4.7,11.8,.404,4.2,10.5,.395,0.6,1.2,.480,2.5,2.8,.870,0.4,3.7,4.1,1.2,0.8,0.3,0.8,3.3,16.1
43,Patrick Beverley\beverpa01,PG,32,LAC,37,34,832,4.0,9.5,.423,2.4,6.1,.397,1.6,3.4,.468,1.6,1.9,.800,1.3,3.9,5.1,3.3,1.3,1.2,1.5,4.7,12.0
44,Saddiq Bey\beysa01,SF,21,DET,70,53,1909,5.3,13.0,.404,3.3,8.7,.380,2.0,4.4,.450,2.3,2.8,.844,0.8,5.2,6.0,1.8,1.0,0.3,1.1,2.1,16.2
45,Tyler Bey\beyty01,SF,22,DAL,18,0,71,3.5,11.2,.318,0.5,2.0,.250,3.0,9.1,.333,1.5,2.5,.600,4.1,5.6,9.6,1.5,0.0,0.5,1.5,3.0,9.1
46,Khem Birch\birchkh01,C,28,TOT,67,22,1529,4.4,8.9,.497,0.3,1.2,.250,4.1,7.7,.537,2.1,3.0,.705,4.1,5.0,9.1,2.1,1.1,1.2,1.0,2.7,11.3
46,Khem Birch\birchkh01,C,28,ORL,48,5,952,3.6,7.9,.450,0.2,0.8,.190,3.4,7.1,.479,2.4,3.2,.741,4.4,4.8,9.2,2.0,1.2,1.1,0.9,2.5,9.6
46,Khem Birch\birchkh01,C,28,TOR,19,17,577,5.9,10.7,.556,0.6,1.9,.290,5.4,8.7,.614,1.7,2.7,.636,3.6,5.4,9.0,2.2,1.0,1.4,1.3,2.9,14.2
47,Goga Bitadze\bitadgo01,C,21,IND,45,3,561,5.3,12.4,.428,1.3,5.1,.253,4.0,7.4,.548,2.9,3.9,.738,3.9,5.8,9.6,2.4,0.6,3.9,1.1,6.0,14.8
48,Bismack Biyombo\biyombi01,C,28,CHO,66,36,1349,3.8,6.5,.587,0.0,0.0,.000,3.8,6.4,.589,1.3,2.8,.448,3.7,5.6,9.3,2.2,0.5,2.0,1.9,3.8,8.8
49,Nemanja Bjelica\bjeline01,PF,32,TOT,37,3,595,5.4,11.9,.454,1.6,5.1,.318,3.8,6.7,.559,2.2,3.1,.725,1.8,5.9,7.7,4.2,0.9,0.3,2.0,4.1,14.6
49,Nemanja Bjelica\bjeline01,PF,32,SAC,26,1,439,5.7,12.3,.460,1.4,4.8,.293,4.3,7.5,.565,2.6,3.4,.762,2.0,6.2,8.2,4.0,0.7,0.2,2.3,3.9,15.3
49,Nemanja Bjelica\bjeline01,PF,32,MIA,11,2,156,4.6,10.6,.435,2.3,6.2,.370,2.3,4.4,.526,1.2,2.1,.556,1.2,5.1,6.2,4.6,1.6,0.7,1.2,4.6,12.7
50,Eric Bledsoe\bledser01,SG,31,NOP,71,70,2111,5.2,12.4,.421,2.1,6.1,.341,3.2,6.4,.496,2.3,3.3,.687,0.5,3.7,4.2,4.6,0.9,0.4,1.9,1.9,14.8
51,Keljin Blevins\blevike01,SF,25,POR,17,0,75,2.4,9.6,.250,1.0,3.8,.250,1.4,5.8,.250,0.0,0.0,,1.4,3.4,4.8,1.9,1.0,0.0,2.4,3.8,5.8
52,Bogdan Bogdanović\bogdabo01,SG,28,ATL,44,27,1305,7.4,15.6,.473,4.0,9.2,.438,3.3,6.4,.522,1.1,1.2,.909,0.6,3.9,4.4,4.1,1.4,0.4,1.5,2.7,19.9
53,Bojan Bogdanović\bogdabo02,SF,31,UTA,72,72,2216,6.6,15.0,.439,2.9,7.5,.390,3.7,7.5,.487,3.8,4.3,.879,0.6,3.9,4.6,2.2,0.7,0.1,2.1,1.9,19.9
54,Bol Bol\bolbo01,PF,21,DEN,32,2,160,5.6,13.1,.431,2.0,5.4,.375,3.6,7.7,.471,2.3,3.4,.667,0.0,5.4,5.4,1.6,0.7,2.3,2.9,3.2,15.5
55,Marques Bolden\boldema01,C,22,CLE,6,0,29,1.2,3.7,.333,0.0,0.0,,1.2,3.7,.333,6.2,9.9,.625,3.7,3.7,7.4,0.0,2.5,2.5,2.5,0.0,8.7
56,Jordan Bone\bonejo01,PG,23,ORL,14,0,196,4.2,9.9,.426,1.8,5.9,.313,2.4,4.0,.591,0.0,0.0,,0.7,3.7,4.4,3.3,0.4,0.0,0.6,2.0,10.3
57,Isaac Bonga\bongais01,SF,21,WAS,40,8,432,2.5,6.8,.370,1.1,3.9,.277,1.4,2.8,.500,0.4,0.7,.625,1.5,4.0,5.5,1.9,0.9,0.7,1.8,5.2,6.5
58,Devin Booker\bookede01,SG,24,PHO,67,67,2270,9.9,20.4,.484,2.0,5.9,.340,7.9,14.5,.543,5.4,6.2,.867,0.5,3.9,4.5,4.6,0.8,0.3,3.3,2.9,27.2
59,Chris Boucher\bouchch01,C,28,TOR,60,14,1453,7.1,13.9,.514,2.2,5.8,.383,4.9,8.1,.609,3.8,4.8,.788,2.9,7.1,10.0,1.6,0.9,2.8,1.1,4.1,20.3
60,Brian Bowen\bowenbr02,SF,22,IND,6,0,15,2.4,9.6,.250,0.0,2.4,.000,2.4,7.2,.333,2.4,2.4,1.000,0.0,7.2,7.2,0.0,0.0,0.0,0.0,2.4,7.2
61,Avery Bradley\bradlav01,SG,30,TOT,27,6,602,3.8,10.2,.374,2.0,6.0,.327,1.9,4.2,.443,0.7,0.9,.800,0.5,2.9,3.4,2.8,1.3,0.2,1.7,3.3,10.3
61,Avery Bradley\bradlav01,SG,30,MIA,10,1,211,5.3,11.3,.470,2.7,6.5,.421,2.6,4.8,.536,1.2,1.5,.778,0.3,2.7,3.1,2.4,1.2,0.2,1.5,4.4,14.5
61,Avery Bradley\bradlav01,SG,30,HOU,17,5,391,3.0,9.7,.314,1.6,5.8,.270,1.5,3.9,.381,0.5,0.6,.833,0.6,3.0,3.6,2.9,1.3,0.2,1.7,2.7,8.1
62,Tony Bradley\bradlto01,C,23,TOT,42,8,684,6.9,10.4,.665,0.0,0.2,.000,6.9,10.2,.675,2.0,2.9,.691,4.5,8.1,12.6,1.9,0.8,1.6,1.7,3.2,15.8
62,Tony Bradley\bradlto01,C,23,PHI,20,8,287,6.4,9.4,.680,0.0,0.1,.000,6.4,9.3,.689,0.9,1.4,.636,4.9,8.2,13.0,2.1,0.8,1.6,0.8,3.5,13.7
62,Tony Bradley\bradlto01,C,23,OKC,22,0,397,7.3,11.1,.656,0.0,0.2,.000,7.3,10.9,.667,2.8,4.0,.705,4.2,8.1,12.2,1.8,0.8,1.5,2.4,3.0,17.3
63,Jarrell Brantley\brantja01,PF,24,UTA,28,0,138,6.5,13.6,.481,3.1,7.3,.429,3.4,6.3,.542,0.5,0.5,1.000,2.3,4.7,7.0,3.9,1.8,0.5,2.1,4.4,16.7
64,Ignas Brazdeikis\brazdig01,SF,22,TOT,13,0,249,5.1,12.0,.422,1.6,4.0,.393,3.5,8.0,.436,1.4,2.0,.714,1.6,4.9,6.5,2.5,0.6,0.4,1.7,3.2,13.2
64,Ignas Brazdeikis\brazdig01,SF,22,NYK,4,0,7,0.0,5.1,.000,0.0,0.0,,0.0,5.1,.000,10.3,10.3,1.000,5.1,5.1,10.3,5.1,0.0,0.0,5.1,0.0,10.3
64,Ignas Brazdeikis\brazdig01,SF,22,PHI,1,0,8,0.0,13.5,.000,0.0,4.5,.000,0.0,9.0,.000,0.0,0.0,,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Ignas Brazdeikis\brazdig01,SF,22,ORL,8,0,234,5.4,12.2,.443,1.7,4.2,.407,3.7,8.0,.462,1.2,1.8,.667,1.5,4.8,6.3,2.5,0.6,0.5,1.7,3.4,13.7
65,Mikal Bridges\bridgmi01,SF,24,PHO,72,72,2348,5.6,10.3,.543,2.1,4.8,.425,3.5,5.4,.647,1.7,2.0,.840,1.2,3.6,4.7,2.3,1.2,1.0,0.9,1.8,14.9
66,Miles Bridges\bridgmi02,PF,22,CHO,66,19,1932,5.8,11.6,.503,2.2,5.4,.400,3.7,6.2,.593,1.8,2.1,.867,1.5,5.9,7.4,2.7,0.8,1.0,2.0,2.7,15.7
67,Amida Brimah\brimaam01,C,26,IND,5,0,29,6.2,9.9,.625,0.0,0.0,,6.2,9.9,.625,3.7,3.7,1.000,2.5,7.4,9.9,1.2,0.0,6.2,5.0,5.0,16.1
68,Oshae Brissett\brissos01,SF,22,IND,21,16,519,5.1,10.5,.483,2.3,5.4,.423,2.8,5.1,.548,3.5,4.5,.769,2.0,6.0,8.0,1.2,1.3,1.4,0.7,2.2,15.9
69,Malcolm Brogdon\brogdma01,PG,28,IND,56,56,1930,8.3,18.3,.453,2.7,7.0,.388,5.6,11.3,.493,2.9,3.3,.864,1.1,4.4,5.5,6.1,0.9,0.3,2.1,2.1,22.1
70,Armoni Brooks\brookar01,SG,22,HOU,20,5,520,5.4,13.3,.406,4.2,10.9,.382,1.2,2.4,.514,0.5,0.8,.583,0.7,4.0,4.7,2.1,0.8,0.3,1.5,2.4,15.4
71,Dillon Brooks\brookdi01,SF,25,MEM,67,67,1997,7.8,18.6,.419,2.3,6.7,.344,5.5,11.9,.461,2.9,3.5,.815,1.0,2.6,3.5,2.8,1.4,0.5,2.1,4.3,20.7
72,Bruce Brown\brownbr01,PG,24,BRK,65,37,1451,5.8,10.5,.556,0.4,1.5,.288,5.4,9.0,.599,2.1,2.9,.735,2.8,5.9,8.7,2.6,1.4,0.7,1.3,3.6,14.2
73,Charlie Brown Jr.\brownch02,SG,23,OKC,9,1,152,3.1,10.2,.302,1.2,5.0,.238,1.9,5.2,.364,2.1,2.4,.900,0.7,3.3,4.0,2.1,0.9,0.5,1.4,4.5,9.5
74,Jaylen Brown\brownja02,SG,24,BOS,58,58,1999,9.7,20.0,.484,2.9,7.4,.397,6.8,12.6,.536,3.4,4.5,.764,1.3,5.0,6.2,3.5,1.3,0.6,2.8,3.0,25.8
75,Moses Brown\brownmo01,C,21,OKC,43,32,920,5.7,10.5,.545,0.0,0.0,,5.7,10.5,.545,3.1,4.9,.619,6.0,9.0,15.0,0.4,1.2,1.8,1.7,3.6,14.5
76,Sterling Brown\brownst02,SG,25,HOU,51,14,1229,4.4,9.8,.448,2.7,6.3,.423,1.7,3.5,.492,0.7,0.9,.806,1.1,5.4,6.6,2.1,1.1,0.4,1.2,2.8,12.2
77,Troy Brown Jr.\browntr01,SF,21,TOT,34,0,524,4.3,9.9,.431,1.5,4.8,.314,2.7,5.1,.541,1.0,1.4,.714,1.4,5.8,7.2,2.0,0.7,0.4,1.4,3.4,11.1
77,Troy Brown Jr.\browntr01,SF,21,WAS,21,0,287,4.1,11.2,.371,1.8,5.8,.304,2.4,5.4,.442,1.3,1.9,.667,1.4,6.3,7.7,2.4,0.4,0.5,2.0,3.6,11.3
77,Troy Brown Jr.\browntr01,SF,21,CHI,13,0,237,4.4,8.4,.527,1.2,3.6,.333,3.2,4.7,.677,0.8,0.9,.833,1.4,5.3,6.7,1.5,1.1,0.3,0.8,3.0,10.8
78,Jalen Brunson\brunsja01,PG,24,DAL,68,12,1697,7.0,13.3,.523,1.7,4.2,.405,5.2,9.1,.578,2.5,3.2,.795,0.6,4.3,4.9,5.1,0.7,0.0,1.7,2.3,18.2
79,Elijah Bryant\bryanel01,SG,25,MIL,1,0,32,6.8,14.6,.462,1.1,5.6,.200,5.6,9.0,.625,3.4,3.4,1.000,2.3,4.5,6.8,3.4,0.0,1.1,4.5,4.5,18.0
80,Thomas Bryant\bryanth01,C,23,WAS,10,10,271,7.8,12.1,.648,1.2,2.8,.429,6.6,9.3,.714,2.1,3.2,.667,2.4,5.7,8.1,2.0,0.5,1.1,1.5,4.1,19.0
81,Reggie Bullock\bullore01,SF,29,NYK,65,64,1949,4.6,10.4,.442,3.0,7.4,.410,1.6,3.0,.521,0.9,1.0,.909,0.3,3.8,4.1,1.8,1.0,0.2,0.8,2.7,13.1
82,Trey Burke\burketr01,PG,28,DAL,62,1,911,6.0,13.9,.428,2.3,6.5,.354,3.7,7.5,.492,2.0,2.3,.895,0.4,1.7,2.1,3.2,1.4,0.3,1.3,2.5,16.2
83,Alec Burks\burksal01,SG,29,NYK,49,5,1255,6.0,14.3,.420,2.9,7.1,.415,3.1,7.3,.425,2.9,3.4,.856,0.6,5.9,6.5,3.1,0.9,0.4,1.4,2.9,17.9
84,Jimmy Butler\butleji01,SF,31,MIA,52,52,1745,7.6,15.2,.497,0.5,2.1,.245,7.0,13.1,.538,7.4,8.6,.863,1.9,5.5,7.4,7.6,2.2,0.4,2.2,1.5,23.0
85,Bruno Caboclo\cabocbr01,PF,25,HOU,6,0,36,8.0,17.0,.471,0.0,5.0,.000,8.0,12.0,.667,1.0,2.0,.500,3.0,11.0,14.0,1.0,0.0,2.0,4.0,6.0,17.0
86,Devontae Cacok\cacokde01,PF,24,LAL,20,1,98,6.2,10.7,.586,0.0,0.0,,6.2,10.7,.586,1.8,4.0,.455,4.4,7.3,11.8,0.4,1.8,1.5,1.8,2.9,14.3
87,Kentavious Caldwell-Pope\caldwke01,SG,27,LAL,67,67,1902,4.1,9.6,.431,2.3,5.5,.410,1.9,4.0,.460,1.8,2.1,.866,0.5,2.9,3.4,2.4,1.2,0.5,1.2,2.2,12.4
88,Facundo Campazzo\campafa01,PG,29,DEN,65,19,1425,3.0,8.0,.381,1.9,5.5,.352,1.1,2.5,.444,2.0,2.3,.879,0.6,2.8,3.4,5.9,2.0,0.4,1.8,3.3,10.0
89,Vlatko Čančar\cancavl01,PF,23,DEN,41,1,281,4.2,9.2,.458,1.2,4.2,.273,3.1,5.0,.615,1.3,1.7,.769,1.4,5.0,6.4,1.8,1.4,0.3,1.8,2.3,10.9
90,Devin Cannady\cannade01,PG,24,ORL,8,0,74,5.4,13.6,.393,2.9,7.8,.375,2.4,5.8,.417,2.9,3.4,.857,0.0,2.4,2.4,0.5,2.4,0.5,1.0,4.4,16.5
91,Clint Capela\capelca01,C,26,ATL,63,63,1898,7.8,13.2,.594,0.0,0.0,,7.8,13.2,.594,2.5,4.3,.573,5.6,11.5,17.1,0.9,0.8,2.4,1.4,2.8,18.1
92,Vernon Carey Jr.\careyve01,C,19,CHO,19,4,115,5.6,11.3,.500,0.3,2.2,.143,5.3,9.1,.586,2.8,3.4,.818,1.9,6.6,8.5,0.6,0.3,1.6,1.6,4.1,14.4
93,Jevon Carter\carteje01,PG,25,PHO,60,1,717,4.7,11.2,.422,2.8,7.6,.371,1.9,3.6,.528,0.2,0.4,.571,0.8,3.8,4.6,3.6,1.5,0.5,0.8,2.8,12.5
94,Wendell Carter Jr.\cartewe01,C,21,TOT,54,44,1375,6.0,12.0,.503,0.4,1.3,.294,5.6,10.6,.530,3.4,4.7,.732,3.5,8.1,11.6,2.7,0.9,1.1,2.0,3.8,15.9
