Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
454,Iman Shumpert\shumpim01,SG,30,BRK,2,0,11,3.3,13.1,.250,0.0,9.8,.000,3.3,3.3,1.000,0.0,0.0,,3.3,0.0,3.3,0.0,3.3,0.0,3.3,0.0,6.5
455,Pascal Siakam\siakapa01,PF,26,TOR,56,56,2006,7.8,17.2,.455,1.3,4.4,.297,6.5,12.8,.509,4.5,5.4,.827,1.7,5.6,7.3,4.5,1.1,0.7,2.3,3.1,21.5
456,Chris Silva\silvach01,PF,24,TOT,15,0,92,3.9,6.3,.625,0.4,0.4,1.000,3.5,5.9,.600,4.3,5.9,.733,2.7,7.8,10.6,2.3,0.4,2.3,3.9,9.4,12.5
456,Chris Silva\silvach01,PF,24,MIA,11,0,83,3.9,5.6,.692,0.4,0.4,1.000,3.5,5.2,.667,4.8,6.5,.733,3.0,7.8,10.8,2.6,0.4,2.2,3.9,8.7,13.0
456,Chris Silva\silvach01,PF,24,SAC,4,0,9,4.0,12.0,.333,0.0,0.0,,4.0,12.0,.333,0.0,0.0,,0.0,8.0,8.0,0.0,0.0,4.0,4.0,16.0,8.0
457,Ben Simmons\simmobe01,PG,24,PHI,58,58,1877,6.2,11.2,.557,0.1,0.2,.300,6.2,11.0,.562,3.4,5.5,.613,1.8,6.2,8.0,7.7,1.8,0.7,3.3,3.3,15.9
458,Anfernee Simons\simonan01,SG,21,POR,64,0,1104,5.5,13.1,.419,3.9,9.2,.426,1.6,3.9,.403,1.5,1.9,.807,0.5,4.1,4.6,2.9,0.6,0.3,1.4,3.1,16.4
459,Deividas Sirvydis\sirvyde01,SG,20,DET,20,0,133,3.8,10.8,.350,2.7,7.6,.357,1.1,3.2,.333,0.8,1.6,.500,0.0,7.8,7.8,1.4,0.5,0.0,1.4,2.4,11.1
460,Alen Smailagić\smailal01,PF,20,GSW,15,1,84,4.7,11.6,.407,1.7,4.3,.400,3.0,7.3,.412,0.9,2.6,.333,2.6,4.3,6.9,1.7,1.3,2.1,2.1,4.7,12.0
461,Marcus Smart\smartma01,PG,26,BOS,48,45,1581,4.6,11.6,.398,2.1,6.4,.330,2.5,5.2,.482,2.9,3.7,.790,0.8,3.0,3.8,6.2,1.6,0.5,2.2,2.9,14.3
462,Dennis Smith Jr.\smithde03,PG,23,TOT,23,9,420,5.0,12.4,.400,1.6,5.0,.328,3.3,7.5,.448,1.6,2.2,.731,1.0,3.7,4.7,6.6,2.0,1.2,2.2,3.2,13.2
462,Dennis Smith Jr.\smithde03,PG,23,NYK,3,0,28,2.6,12.9,.200,0.0,5.1,.000,2.6,7.7,.333,6.4,7.7,.833,0.0,2.6,2.6,3.9,3.9,0.0,1.3,5.1,11.6
462,Dennis Smith Jr.\smithde03,PG,23,DET,20,9,392,5.1,12.4,.415,1.7,5.0,.352,3.4,7.4,.457,1.3,1.8,.700,1.1,3.8,4.9,6.8,1.8,1.3,2.3,3.0,13.3
463,Ish Smith\smithis01,PG,32,WAS,44,1,924,5.0,11.6,.434,0.7,1.9,.367,4.3,9.7,.448,0.7,1.3,.576,0.9,5.0,5.8,6.7,1.2,0.5,1.6,2.4,11.5
464,Jalen Smith\smithja04,PF,20,PHO,27,1,156,5.1,11.5,.440,0.9,3.9,.235,4.2,7.6,.545,1.2,1.6,.714,1.6,6.9,8.5,0.9,0.2,1.2,1.6,3.7,12.2
465,Tony Snell\snellto01,SG,29,ATL,47,23,992,3.2,6.2,.515,2.3,4.0,.569,0.9,2.3,.419,0.4,0.4,1.000,0.7,3.4,4.1,2.1,0.5,0.4,0.8,2.7,9.0
466,Ray Spalding\spaldra01,C,23,HOU,2,0,19,3.8,7.6,.500,0.0,1.9,.000,3.8,5.7,.667,0.0,3.8,.000,3.8,3.8,7.6,0.0,0.0,3.8,5.7,5.7,7.6
467,Cassius Stanley\stanlca01,SG,21,IND,24,0,93,5.0,16.6,.302,1.2,5.0,.231,3.9,11.6,.333,2.7,3.5,.778,3.1,4.6,7.7,0.4,0.4,0.8,0.4,5.4,13.9
468,Lamar Stevens\stevela01,PF,23,CLE,40,0,499,4.5,9.8,.456,0.3,1.8,.160,4.2,8.0,.523,2.7,3.7,.725,1.7,5.2,6.9,1.8,1.2,0.9,1.7,3.8,11.9
469,Isaiah Stewart\stewais01,C,19,DET,68,14,1455,5.6,10.1,.553,0.5,1.6,.333,5.1,8.6,.592,1.6,2.3,.696,3.9,7.3,11.2,1.5,1.0,2.1,1.7,4.6,13.3
470,Max Strus\strusma01,SF,24,MIA,39,0,507,6.0,13.3,.455,3.6,10.5,.338,2.5,2.8,.897,1.1,1.7,.667,0.4,2.6,2.9,1.7,0.8,0.1,0.6,3.1,16.8
471,Edmond Sumner\sumneed01,SG,25,IND,53,24,861,6.2,11.8,.525,1.5,3.7,.398,4.7,8.1,.582,2.8,3.5,.819,0.8,3.2,3.9,2.0,1.4,0.4,2.1,3.7,16.7
472,Jae'Sean Tate\tateja01,SF,25,HOU,70,58,2043,5.6,11.0,.506,1.1,3.4,.308,4.5,7.6,.595,1.8,2.6,.694,2.3,4.3,6.6,3.1,1.5,0.6,1.7,3.9,14.0
473,Jayson Tatum\tatumja01,SF,22,BOS,64,64,2290,9.5,20.7,.459,2.9,7.6,.386,6.6,13.1,.502,4.6,5.3,.868,0.8,6.6,7.4,4.3,1.2,0.5,2.7,1.9,26.6
474,Jeff Teague\teaguje01,PG,32,TOT,55,7,950,4.7,10.8,.433,1.4,3.1,.439,3.3,7.7,.431,3.4,4.0,.848,0.6,2.8,3.3,5.0,1.3,0.5,2.4,2.1,14.1
474,Jeff Teague\teaguje01,PG,32,BOS,34,5,616,4.6,11.0,.415,1.5,3.3,.464,3.0,7.7,.394,3.0,3.6,.836,0.6,2.7,3.3,4.3,1.5,0.4,2.3,2.5,13.6
474,Jeff Teague\teaguje01,PG,32,MIL,21,2,334,4.9,10.3,.469,1.1,2.8,.385,3.8,7.5,.500,4.1,4.7,.864,0.5,2.8,3.3,6.4,0.9,0.5,2.7,1.4,14.9
475,Garrett Temple\templga01,SG,34,CHI,56,25,1528,3.7,9.0,.415,1.6,4.7,.335,2.1,4.3,.503,0.9,1.2,.800,0.7,3.1,3.8,2.9,1.0,0.7,1.4,3.0,10.0
476,Tyrell Terry\terryty01,PG,20,DAL,11,0,56,3.2,10.3,.313,0.0,4.5,.000,3.2,5.8,.556,0.6,1.9,.333,0.0,3.9,3.9,3.9,3.2,0.0,1.3,1.3,7.1
477,Daniel Theis\theisda01,C,28,TOT,65,51,1601,5.7,10.5,.541,1.1,3.4,.322,4.6,7.1,.646,1.7,2.5,.673,2.1,5.9,8.0,2.4,0.9,1.3,1.5,3.8,14.1
477,Daniel Theis\theisda01,C,28,BOS,42,37,1027,5.6,10.1,.552,1.2,3.3,.347,4.4,6.8,.653,1.6,2.3,.687,1.9,5.8,7.7,2.3,0.9,1.5,1.4,4.2,13.9
477,Daniel Theis\theisda01,C,28,CHI,23,14,574,5.8,11.2,.522,1.0,3.6,.281,4.8,7.6,.636,1.8,2.7,.651,2.4,6.1,8.5,2.6,1.0,0.9,1.6,2.9,14.4
478,Brodric Thomas\thomabr01,SG,24,TOT,32,1,399,3.5,9.7,.361,1.4,5.3,.271,2.1,4.4,.469,2.8,4.2,.674,0.7,4.1,4.8,2.7,1.4,0.9,2.0,3.6,11.3
478,Brodric Thomas\thomabr01,SG,24,HOU,4,0,24,3.0,10.5,.286,1.5,9.0,.167,1.5,1.5,1.000,7.5,10.5,.714,1.5,4.5,6.0,6.0,1.5,1.5,6.0,7.5,15.0
478,Brodric Thomas\thomabr01,SG,24,CLE,28,1,375,3.6,9.7,.366,1.4,5.1,.283,2.1,4.6,.458,2.5,3.7,.667,0.7,4.0,4.7,2.5,1.3,0.9,1.7,3.4,11.0
479,Isaiah Thomas\thomais02,PG,31,NOP,3,0,48,6.8,20.3,.333,2.3,9.0,.250,4.5,11.3,.400,1.5,1.5,1.000,0.7,2.3,3.0,3.7,0.7,0.0,4.5,2.3,17.2
480,Khyri Thomas\thomakh01,SG,24,HOU,5,2,153,7.5,15.5,.485,2.1,6.4,.333,5.4,9.2,.590,2.1,2.1,1.000,1.6,2.6,4.2,5.9,2.1,1.4,1.4,1.9,19.3
481,Matt Thomas\thomama02,SG,26,TOT,45,0,326,5.5,14.0,.394,3.0,8.8,.338,2.5,5.2,.489,1.3,1.5,.857,0.8,4.1,4.9,2.1,0.4,0.0,1.5,2.0,15.3
481,Matt Thomas\thomama02,SG,26,TOR,26,0,192,4.5,11.6,.387,3.2,7.7,.415,1.3,3.9,.333,1.1,1.3,.857,0.6,3.4,3.9,1.7,0.4,0.0,1.1,1.9,13.3
481,Matt Thomas\thomama02,SG,26,UTA,19,0,134,7.0,17.5,.400,2.7,10.5,.256,4.3,7.0,.615,1.6,1.9,.857,1.1,5.1,6.2,2.7,0.5,0.0,2.1,2.1,18.3
482,Tristan Thompson\thomptr01,PF,29,BOS,54,43,1287,4.7,9.1,.518,0.0,0.1,.000,4.7,9.0,.523,2.0,3.4,.592,4.7,7.6,12.3,1.9,0.7,0.9,1.7,3.3,11.4
483,Sindarius Thornwell\thornsi01,SG,26,TOT,21,1,217,2.5,7.6,.326,1.2,3.8,.304,1.3,3.8,.348,0.7,1.3,.500,0.5,2.5,3.0,3.5,2.2,0.3,1.2,2.5,6.8
483,Sindarius Thornwell\thornsi01,SG,26,NOP,14,1,73,3.5,10.4,.333,1.5,4.4,.333,2.0,5.9,.333,0.0,1.0,.000,0.5,2.0,2.5,2.0,2.5,0.5,2.0,1.5,8.4
483,Sindarius Thornwell\thornsi01,SG,26,ORL,7,0,144,2.0,6.2,.320,1.0,3.5,.286,1.0,2.7,.364,1.0,1.5,.667,0.5,2.7,3.2,4.2,2.0,0.2,0.7,3.0,6.0
484,Matisse Thybulle\thybuma01,SG,23,PHI,65,8,1298,2.8,6.7,.420,1.2,4.0,.301,1.6,2.8,.590,0.2,0.5,.444,0.8,2.6,3.4,1.7,2.9,2.0,0.9,3.5,7.1
485,Killian Tillie\tilliki02,C,22,MEM,18,1,182,3.8,11.3,.333,2.0,6.5,.303,1.8,4.7,.375,1.8,2.2,.818,1.2,3.6,4.7,1.6,1.0,1.6,0.4,4.0,11.3
486,Xavier Tillman Sr.\tillmxa01,PF,22,MEM,59,12,1085,5.5,9.9,.559,0.7,2.2,.338,4.8,7.8,.620,1.1,1.8,.642,2.5,6.0,8.5,2.5,1.5,1.1,1.5,3.8,12.9
487,Anthony Tolliver\tollian01,PF,35,PHI,11,0,99,1.5,6.2,.235,1.5,5.1,.286,0.0,1.1,.000,1.8,2.2,.833,1.1,2.5,3.6,0.7,1.1,0.7,1.1,2.5,6.2
488,Obi Toppin\toppiob01,PF,22,NYK,62,0,683,5.5,11.0,.498,1.4,4.5,.306,4.1,6.5,.629,1.0,1.4,.731,1.4,5.9,7.3,1.5,0.9,0.8,1.2,2.9,13.3
489,Juan Toscano-Anderson\toscaju01,SG,27,GSW,53,16,1107,3.9,6.8,.579,1.2,3.0,.402,2.7,3.8,.718,0.7,1.0,.710,0.9,6.7,7.6,4.9,1.3,0.8,2.0,3.6,9.8
490,Axel Toupane\toupaax01,SF,28,MIL,8,1,61,2.4,6.5,.364,0.6,1.2,.500,1.8,5.3,.333,3.0,4.1,.714,0.0,3.5,3.5,2.4,1.2,1.8,0.0,3.5,8.3
491,Karl-Anthony Towns\townska01,C,25,MIN,50,50,1689,9.1,18.7,.486,2.6,6.7,.387,6.5,11.9,.541,5.7,6.6,.859,2.8,8.4,11.3,4.8,0.8,1.2,3.4,4.0,26.4
492,Gary Trent Jr.\trentga02,SG,22,TOT,58,38,1802,6.4,15.7,.408,3.3,8.6,.385,3.1,7.1,.435,1.7,2.1,.783,0.5,2.5,3.0,1.6,1.1,0.2,0.9,1.8,17.7
492,Gary Trent Jr.\trentga02,SG,22,POR,41,23,1262,6.2,14.9,.414,3.5,8.7,.397,2.7,6.2,.438,1.7,2.1,.773,0.6,2.0,2.6,1.7,1.1,0.2,0.9,1.8,17.5
492,Gary Trent Jr.\trentga02,SG,22,TOR,17,15,540,6.9,17.4,.395,2.9,8.3,.355,3.9,9.1,.431,1.7,2.1,.806,0.4,3.7,4.1,1.5,1.3,0.3,0.8,1.9,18.3
493,P.J. Tucker\tuckepj01,PF,35,TOT,52,33,1356,1.8,4.7,.373,1.1,3.2,.336,0.7,1.5,.448,0.6,0.7,.750,1.4,4.1,5.4,1.6,1.0,0.5,1.1,3.3,5.1
493,P.J. Tucker\tuckepj01,PF,35,HOU,32,32,959,1.8,4.9,.366,1.0,3.2,.314,0.8,1.7,.467,0.7,0.9,.783,1.2,4.3,5.6,1.7,1.1,0.7,1.2,3.4,5.3
493,P.J. Tucker\tuckepj01,PF,35,MIL,20,1,397,1.6,4.2,.391,1.2,3.0,.394,0.5,1.2,.385,0.3,0.5,.600,1.6,3.4,5.1,1.5,0.9,0.2,0.6,3.1,4.7
494,Rayjon Tucker\tuckera01,PG,23,PHI,14,0,68,4.8,9.5,.500,1.1,3.7,.286,3.7,5.8,.636,7.4,10.1,.737,0.5,5.3,5.8,3.2,1.1,0.0,2.1,4.2,18.0
495,Myles Turner\turnemy01,C,24,IND,47,47,1455,5.1,10.7,.477,1.7,5.1,.335,3.4,5.6,.606,2.7,3.5,.782,1.6,6.0,7.6,1.2,1.0,3.9,1.7,4.1,14.6
496,Jonas Valančiūnas\valanjo01,C,28,MEM,62,61,1755,9.0,15.2,.592,0.4,1.2,.368,8.6,14.1,.611,3.2,4.2,.773,5.2,10.7,15.9,2.3,0.7,1.2,2.1,3.7,21.7
497,Denzel Valentine\valende01,SG,27,CHI,62,3,1036,5.4,14.5,.373,2.8,8.4,.331,2.6,6.0,.431,0.6,0.6,.941,0.8,6.0,6.8,3.6,1.0,0.2,1.5,2.4,14.1
498,Jarred Vanderbilt\vandeja01,PF,21,MIN,64,30,1139,4.5,7.5,.606,0.0,0.2,.200,4.5,7.3,.615,1.8,3.2,.559,3.7,7.9,11.6,2.4,2.0,1.5,1.7,3.9,10.9
499,Fred VanVleet\vanvlfr01,SG,26,TOR,52,52,1899,6.4,16.5,.389,3.3,9.0,.366,3.1,7.5,.416,3.2,3.6,.885,0.6,3.6,4.2,6.2,1.6,0.7,1.8,2.3,19.3
500,Anderson Varejão\varejan01,C,38,CLE,5,0,36,4.0,16.0,.250,0.0,1.0,.000,4.0,15.0,.267,5.0,9.0,.556,7.0,13.0,20.0,3.0,0.0,2.0,1.0,3.0,13.0
501,Devin Vassell\vassede01,SF,20,SAS,62,7,1056,4.2,10.3,.406,1.8,5.1,.347,2.4,5.2,.464,1.5,1.7,.843,0.8,5.1,5.9,1.9,1.5,0.6,0.7,3.0,11.6
502,Gabe Vincent\vincega01,PG,24,MIA,50,7,655,4.8,12.8,.378,2.5,8.2,.309,2.3,4.6,.500,1.1,1.3,.870,0.5,2.5,3.1,3.7,1.2,0.1,1.9,4.3,13.3
503,Noah Vonleh\vonleno01,PF,25,BRK,4,0,11,0.0,9.8,.000,0.0,6.5,.000,0.0,3.3,.000,0.0,0.0,,0.0,3.3,3.3,3.3,0.0,0.0,6.5,6.5,0.0
504,Nikola Vučević\vucevni01,C,30,TOT,70,70,2348,10.2,21.4,.477,2.7,6.7,.400,7.5,14.7,.513,2.0,2.4,.840,2.2,10.3,12.5,4.1,1.0,0.7,1.9,2.1,25.1
504,Nikola Vučević\vucevni01,C,30,ORL,44,44,1500,10.5,21.8,.480,2.8,6.9,.406,7.7,14.9,.515,2.2,2.6,.827,2.1,10.3,12.4,4.0,1.0,0.7,2.0,1.9,25.9
504,Nikola Vučević\vucevni01,C,30,CHI,26,26,848,9.8,20.7,.471,2.5,6.5,.388,7.3,14.3,.509,1.7,2.0,.870,2.5,10.2,12.7,4.3,1.0,0.8,1.8,2.5,23.7
505,Dean Wade\wadede01,PF,24,CLE,63,19,1212,4.0,9.2,.431,2.3,6.3,.366,1.7,2.9,.571,0.9,1.2,.769,1.1,5.3,6.4,2.2,1.0,0.6,0.9,2.3,11.2
506,Moritz Wagner\wagnemo01,C,23,TOT,45,24,722,5.2,11.4,.454,1.5,4.5,.341,3.6,6.9,.529,3.5,4.3,.816,1.3,5.9,7.3,2.5,1.3,0.9,2.1,5.4,15.5
506,Moritz Wagner\wagnemo01,C,23,WAS,25,13,375,6.0,11.7,.508,1.2,4.0,.310,4.7,7.7,.613,3.9,5.0,.788,1.2,5.8,7.0,3.1,2.1,0.8,2.0,6.0,17.1
506,Moritz Wagner\wagnemo01,C,23,BOS,9,1,61,2.4,8.3,.286,1.2,3.5,.333,1.2,4.7,.250,0.6,1.2,.500,1.8,9.4,11.2,3.5,0.0,0.6,5.3,5.9,6.5
506,Moritz Wagner\wagnemo01,C,23,ORL,11,10,286,4.8,11.7,.409,2.0,5.4,.372,2.8,6.3,.440,3.7,4.2,.879,1.4,5.4,6.8,1.5,0.5,1.1,1.6,4.5,15.2
507,Kemba Walker\walkeke02,PG,30,BOS,43,43,1369,7.5,17.8,.420,3.3,9.3,.360,4.1,8.5,.486,3.5,3.9,.899,0.4,4.0,4.5,5.6,1.3,0.3,2.3,1.6,21.8
508,Lonnie Walker IV\walkelo01,SG,22,SAS,60,38,1522,6.1,14.4,.420,2.4,6.7,.355,3.7,7.7,.477,1.3,1.7,.814,0.3,3.3,3.7,2.4,0.7,0.4,1.5,2.4,15.8
509,John Wall\walljo01,PG,30,HOU,40,40,1288,8.2,20.3,.404,2.2,7.0,.317,6.0,13.3,.449,4.4,5.9,.749,0.5,3.1,3.6,7.7,1.2,0.9,3.9,1.3,23.0
510,Brad Wanamaker\wanambr01,PG,31,TOT,61,0,1053,3.9,10.2,.385,0.5,2.9,.188,3.4,7.3,.463,3.1,3.5,.891,0.6,3.0,3.6,5.9,1.5,0.4,2.4,3.2,11.5
510,Brad Wanamaker\wanambr01,PG,31,GSW,39,0,625,3.5,10.0,.353,0.7,3.5,.213,2.8,6.5,.429,2.9,3.2,.893,0.5,3.3,3.8,5.7,1.5,0.3,2.1,3.2,10.7
510,Brad Wanamaker\wanambr01,PG,31,CHO,22,0,428,4.5,10.6,.429,0.3,2.0,.125,4.3,8.6,.500,3.4,3.8,.889,0.8,2.4,3.3,6.3,1.4,0.4,2.9,3.3,12.7
511,T.J. Warren\warretj01,SF,27,IND,4,4,117,8.3,15.7,.529,0.0,2.2,.000,8.3,13.5,.614,2.5,3.1,.800,0.6,3.7,4.3,1.5,0.6,0.0,1.2,4.9,19.1
512,P.J. Washington\washipj01,PF,22,CHO,64,61,1954,5.6,12.6,.440,2.1,5.3,.386,3.5,7.3,.480,2.0,2.7,.745,1.7,6.0,7.7,3.0,1.3,1.5,2.4,3.2,15.2
513,Yuta Watanabe\watanyu01,SF,26,TOR,50,4,723,3.9,9.0,.439,1.8,4.5,.400,2.1,4.5,.478,1.2,1.4,.828,1.8,6.1,7.9,2.0,1.3,0.9,0.9,2.8,10.9
514,Tremont Waters\watertr01,PG,23,BOS,26,3,238,5.1,12.7,.405,2.3,5.7,.395,2.9,7.0,.413,2.4,2.6,.941,0.8,2.4,3.2,9.4,2.3,0.2,4.1,2.6,15.0
515,Paul Watson\watsopa01,SF,26,TOR,27,2,297,4.6,9.9,.463,3.6,7.8,.469,1.0,2.2,.444,0.6,1.0,.625,0.5,5.0,5.5,2.1,0.7,0.4,1.1,4.4,13.5
516,Quinndary Weatherspoon\weathqu01,SG,24,SAS,20,0,121,4.8,10.4,.457,0.3,1.8,.167,4.5,8.6,.517,3.9,4.8,.813,0.9,2.4,3.3,2.4,2.4,0.6,3.0,5.4,13.7
517,Russell Westbrook\westbru01,PG,32,WAS,65,65,2369,8.3,18.8,.439,1.3,4.1,.315,7.0,14.7,.475,4.1,6.3,.656,1.7,9.7,11.4,11.6,1.4,0.3,4.7,2.9,22.0
518,Coby White\whiteco01,PG,20,CHI,69,54,2156,6.3,15.1,.416,2.7,7.6,.359,3.5,7.5,.473,2.1,2.4,.901,0.5,4.3,4.7,5.5,0.6,0.3,2.6,3.0,17.4
519,Derrick White\whitede01,SG,26,SAS,36,32,1064,6.3,15.3,.411,2.8,8.2,.346,3.5,7.1,.486,3.3,3.9,.851,0.4,3.2,3.6,4.3,0.9,1.2,1.5,3.1,18.7
520,Hassan Whiteside\whiteha01,C,31,SAC,36,4,546,8.3,14.8,.563,0.0,0.1,.000,8.3,14.7,.565,2.7,5.2,.519,4.0,10.2,14.2,1.3,0.6,3.0,2.6,4.8,19.3
521,Greg Whittington\whittgr01,PF,27,DEN,4,0,12,0.0,9.0,.000,0.0,6.0,.000,0.0,3.0,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
522,Andrew Wiggins\wiggian01,PF,25,GSW,71,71,2364,7.7,16.1,.477,2.1,5.6,.380,5.6,10.5,.529,2.6,3.6,.714,1.2,4.0,5.3,2.5,1.0,1.1,1.9,2.4,20.1
523,Grant Williams\willigr01,PF,22,BOS,63,9,1138,3.4,7.8,.437,1.5,4.1,.372,1.9,3.7,.508,0.9,1.6,.588,1.5,4.1,5.6,2.0,1.0,0.8,1.8,5.1,9.3
524,Kenrich Williams\willike04,PF,26,OKC,66,13,1426,5.5,10.4,.533,1.3,3.0,.444,4.2,7.4,.568,0.9,1.6,.571,2.1,4.8,6.9,3.8,1.4,0.4,1.9,3.6,13.3
525,Lou Williams\willilo02,PG,34,TOT,66,4,1423,6.7,16.3,.410,1.7,4.4,.399,5.0,12.0,.414,3.8,4.4,.867,0.5,3.0,3.5,5.7,1.2,0.2,2.7,1.6,18.9
525,Lou Williams\willilo02,PG,34,LAC,42,3,918,7.1,16.9,.421,1.8,4.7,.378,5.3,12.2,.437,4.0,4.7,.866,0.6,2.9,3.5,5.6,1.5,0.2,2.6,1.6,20.0
525,Lou Williams\willilo02,PG,34,ATL,24,1,505,6.0,15.4,.389,1.7,3.8,.444,4.3,11.5,.370,3.4,3.8,.870,0.4,3.1,3.6,5.8,0.6,0.1,3.0,1.4,17.0
526,Patrick Williams\willipa01,PF,19,CHI,71,71,1983,4.6,9.6,.483,1.0,2.5,.391,3.6,7.1,.515,1.7,2.3,.728,1.2,4.7,5.9,1.8,1.2,0.8,1.8,2.3,11.9
527,Robert Williams\williro04,C,23,BOS,52,13,985,6.8,9.4,.721,0.0,0.1,.000,6.8,9.4,.727,1.6,2.7,.616,4.9,8.2,13.1,3.4,1.6,3.3,1.9,3.8,15.2
528,Zion Williamson\willizi01,PF,20,NOP,61,61,2026,11.3,18.4,.611,0.2,0.6,.294,11.1,17.8,.622,6.6,9.4,.698,3.0,4.9,7.8,4.0,1.0,0.7,3.0,2.4,29.3
529,D.J. Wilson\wilsodj01,PF,24,TOT,35,1,433,5.7,14.0,.405,2.5,7.2,.345,3.2,6.7,.469,1.4,2.1,.680,1.7,7.6,9.3,1.9,0.9,1.3,1.8,3.7,15.2
529,D.J. Wilson\wilsodj01,PF,24,MIL,12,0,105,5.5,14.7,.372,3.4,9.6,.357,2.1,5.1,.400,0.3,0.7,.500,1.0,7.5,8.6,1.0,0.3,1.4,1.4,4.5,14.7
529,D.J. Wilson\wilsodj01,PF,24,HOU,23,1,328,5.7,13.7,.416,2.2,6.5,.339,3.5,7.2,.485,1.8,2.5,.696,1.9,7.7,9.5,2.2,1.1,1.3,2.0,3.4,15.4
530,Dylan Windler\windldy01,SF,24,CLE,31,0,513,4.0,9.1,.438,1.8,5.4,.338,2.2,3.7,.585,1.5,1.9,.778,1.4,6.1,7.5,2.3,1.3,0.8,2.2,2.6,11.3
531,Justise Winslow\winslju01,SF,24,MEM,26,1,507,5.3,14.9,.352,0.7,3.8,.185,4.5,11.1,.410,1.4,2.5,.571,1.3,7.1,8.4,3.6,1.1,0.9,2.6,3.3,12.6
532,Cassius Winston\winstca01,PG,22,WAS,22,0,98,5.1,12.1,.424,2.9,6.2,.471,2.2,5.9,.375,1.8,2.2,.833,0.0,3.3,3.3,4.4,0.7,0.4,1.8,2.9,15.1
533,James Wiseman\wisemja01,C,19,GSW,39,27,836,8.2,15.8,.519,0.5,1.6,.316,7.7,14.2,.542,2.3,3.7,.628,2.4,7.4,9.7,1.1,0.5,1.6,2.6,5.2,19.3
534,Christian Wood\woodch01,C,25,HOU,41,41,1326,8.9,17.4,.514,2.1,5.6,.374,6.8,11.8,.581,3.4,5.4,.631,2.1,8.7,10.7,1.9,0.9,1.3,2.2,2.4,23.3
535,Robert Woodard II\woodaro01,SF,21,SAC,13,0,45,6.4,16.0,.400,0.8,4.8,.167,5.6,11.2,.500,2.4,6.4,.375,3.2,9.6,12.8,1.6,0.0,2.4,0.8,3.2,16.0
536,Delon Wright\wrighde01,SG-PG,28,TOT,63,39,1748,4.9,10.7,.463,1.3,3.5,.372,3.6,7.1,.509,2.1,2.6,.802,1.3,4.2,5.5,5.7,2.1,0.6,1.7,1.5,13.3
536,Delon Wright\wrighde01,SG,28,DET,36,31,1052,4.7,10.0,.464,1.1,3.0,.348,3.6,7.0,.515,2.4,3.1,.789,1.3,4.3,5.6,6.2,2.0,0.7,1.6,1.5,12.8
536,Delon Wright\wrighde01,PG,28,SAC,27,8,696,5.4,11.6,.462,1.7,4.3,.398,3.7,7.3,.500,1.6,1.9,.833,1.4,4.0,5.4,5.0,2.2,0.6,1.8,1.6,14.0
537,Thaddeus Young\youngth01,PF,32,CHI,68,23,1652,8.1,14.4,.559,0.3,1.0,.267,7.8,13.4,.580,1.5,2.5,.628,3.7,5.6,9.2,6.3,1.6,0.9,3.0,3.3,17.9
538,Trae Young\youngtr01,PG,22,ATL,63,63,2125,8.3,18.8,.438,2.3,6.7,.343,5.9,12.1,.491,8.2,9.2,.886,0.6,3.5,4.2,10.1,0.9,0.2,4.4,1.9,27.0
539,Cody Zeller\zelleco01,C,28,CHO,48,21,1005,6.5,11.6,.559,0.1,1.0,.143,6.3,10.6,.598,3.0,4.3,.714,4.3,7.5,11.7,3.1,1.0,0.6,1.8,4.3,16.2
540,Ivica Zubac\zubaciv01,C,23,LAC,72,33,1609,5.8,8.8,.652,0.0,0.1,.250,5.7,8.7,.656,3.0,3.8,.789,4.2,7.4,11.6,2.0,0.5,1.4,1.8,4.2,14.5